"What does <font color=""#fd8008"">lsblk</font> do?",list block devices
"What does <font color=""#fd8008"">pvdisplay</font> do?",display attributes of a physical volume
"What does <font color=""#fd8008"">pvscan</font> do?",scan all disks for physical volumes
"What does <font color=""#fd8008"">pvmove</font> do?",move physical extents (PE) to one or more physical volumes (PV)
"What does <font color=""#fd8008"">pvremove</font> do?",remove a physical volume
"What does <font color=""#fd8008"">pvresize</font> do?",resize a disk or partition in use by LVM2
"What does <font color=""#fd8008"">pvs</font> do?",show information about physical volumes
"What does <font color=""#fd8008"">pvchange</font> do?",change attributes of a physical volume
"What does <font color=""#fd8008"">lvscan</font> do?",scan all disks for logical volumes
"What does <font color=""#fd8008"">lvdisplay</font> do?",display attributes of a logical volume
"What does <font color=""#fd8008"">vgs</font> do?",show information about volume groups
"What does <font color=""#fd8008"">lvextend</font> do?",extend the size of a logical volume
"What is a <font color=""#fd8008"">physical extent (PE)</font>?,TODO
"What does <font color=""#fd8008"">pvcreate</font> do?",TODO
